Error History (08/30/2023 00:00-08/31/2023 23:59 Area:ASRS Warehouse)
Date/Time, Control WCS, Control CELL, Machine, Position, Transport Data Total, Error Code, Error Name, Transfer Equipment #, Cycle, Destination, Development #, Image Index #, Additional Info 1, Additional Info 2, Additional Info 3, Transport ID, Transport ID Details 1, Transport ID Details 2, Request ID, Data Type, Transport Type, Source Location, Source Transport Details, Source Display Info, Source Merge Info, Destination Location, Sub-Destination Location, Destination Transport Details, Destination Display Info, Destination Divert Info, Destination Load Forced Removal Permission, Final Destination Location, Transport Direction, Group #, Group Control Key, Load Size Info (Height), Load Size Info (Width), Load Size Info (Length), Load Size Info (Other), Barcode Data, Operation #, Control Info, Current Position Device #, Transport Key, Scheduled Location (Primary), Scheduled Location (Secondary), Determined Location #, Secondary Determined Location # 1, Secondary Determined Location # 2, Secondary Determined Location # 3, Secondary Determined Location # 4, Destination Location #, Determined Destination Outcome, Load Status, Final Load Status, Transport Starting Location, Transport Start Date/Time, Control Load Height, Pulse Value, Development #, Load Width, Load Length, Load Height, Load Weight, Barcode Sorting Outcome, Transport Data Control Info, Load Size Check Flag, Divert Control Info, Barcode Sorting Info, IJP Print Info, Group #, Load Status 2, Tracking Control Info Index, WCS Operation Management #1, WCS Operation Management #2, Operation Type, BCR # (for DB), Divert Control Info (for DB)
08/31/2023 20:29:44,AGCA01,-,SRA002,0,1,1115001,Load profile error: Extending,Fork 1,Deposit,R-SRA001-006-076-008,-,-,-,-,-,1365187,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000002689,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 20:07:54,AGCA01,-,AA0202,,1,1032005,Load presence error 2,--,Waiting for Pickup Completion,,-,-,-,-,-,1365187,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000002689,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 20:05:01,AGCA01,-,SRA002,0,1,1115006,Load profile error: Retracting (P/D),Fork 1,Pickup,AA0202,-,-,-,-,-,1365187,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000002689,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 19:15:49,AGCA01,-,A01043,,1,1032005,Load presence error 2,--,Transport Arrival,,-,-,-,-,-,1365131,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000006522,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 15:47:54,AGCA01,-,SRA001,0,1,1112023,TRNS1 center position not detected,Fork 1,Pickup,R-SRA001-003-011-006,-,-,-,-,-,1364879,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000008903,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 15:25:19,AGCA01,-,SRA003,0,1,1040090,Access area interlock,Fork 1,Pickup,R-SRA001-008-052-002,-,-,-,-,-,1364833,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000013981,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 15:08:16,AGCA01,-,SRA003,0,1,1115002,Load profile error: Retracting,Fork 1,Pickup,R-SRA001-008-052-002,-,-,-,-,-,1364833,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000013981,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 13:53:56,AGCA01,-,SRA004,0,1,1113221,SRM main unit communication error,Fork 1,Deposit,AA0401,-,-,-,-,-,1364702,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000004642,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 13:53:53,AGCA01,-,SRA004,0,1,1113223,Key switch off,Fork 1,Deposit,AA0401,-,-,-,-,-,1364702,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000004642,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 13:52:29,AGCA01,-,SRA004,0,1,1115005,Load profile error: Extending (P/D),Fork 1,Deposit,AA0401,-,-,-,-,-,1364702,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000004642,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 13:50:22,AGCA01,-,SRA004,0,1,1115002,Load profile error: Retracting,Fork 1,Pickup,R-SRA001-009-037-009,-,-,-,-,-,1364702,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000004642,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 13:46:59,AGCA01,-,SRA001,0,1,1113221,SRM main unit communication error,Fork 1,Deposit,AA0101,-,-,-,-,-,1364703,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000005753,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 13:46:55,AGCA01,-,SRA001,0,1,1113223,Key switch off,Fork 1,Deposit,AA0101,-,-,-,-,-,1364703,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000005753,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 13:37:35,AGCA01,-,SRA001,0,1,1112039,TRNS1 off-center: Stopped,Fork 1,Deposit,AA0101,-,-,-,-,-,1364703,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000005753,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 10:18:25,AGCA01,-,SRA001,0,1,1112039,TRNS1 off-center: Stopped,Fork 1,Deposit,AA0101,-,-,-,-,-,1364415,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000010656,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 10:01:10,AGCA01,-,SRA001,0,1,1112039,TRNS1 off-center: Stopped,Fork 1,Deposit,AA0101,-,-,-,-,-,1364412,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000002971,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 08:34:51,AGCA01,-,AA0501,,1,1217771,Protrusion detection error,--,Standby,,-,-,-,-,-,1364333,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000009393,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/31/2023 08:34:51,AGCA01,-,A01016,,1,1217771,Protrusion detection error,--,Standby,,-,-,-,-,-,1364333,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000009393,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
